uuid,Void/Retire,Fully specified name:es,Short name:es,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Mappings|SAME-AS|PIH|Name,Mappings|SAME-AS|PIH|Number,Mappings|SAME-AS|CIEL,Mappings|SAME-AS|AMPATH,Mappings|NARROWER-THAN|AMPATH,Mappings|SAME-AS|ICD-10-WHO,Mappings|NARROWER-THAN|ICD-10-WHO,Mappings|BROADER-THAN|ICD-10-WHO,Mappings|NARROWER-THAN|ICD-10-WHO 2nd,Mappings|SAME-AS|ICD-11-WHO,Mappings|SAME-AS|Liberia MoH,Mappings|NARROWER-THAN|Liberia MoH,Mappings|SAME-AS|org.openmrs.module.emrapi,Mappings|SAME-AS|PIH Malawi,Mappings|SAME-AS|SNOMED CT,Mappings|NARROWER-THAN|SNOMED CT,_order:90
7014024a-c0d0-4885-beab-f5166619be7c,,México conjunto de diagnósticos de atención primaria,,Mexico primary care diagnosis set,,The set of diagnoses used at the primary care clinics in Chiapas at PIH Mexico / CES.,ConvSet,N/A,,Mexico primary care diagnosis set,11722,,,,,,,,,,,,,,,
149938AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Abdomen agudo,,Acute Abdomen,,"Clinical syndrome characterized by abdominal pain of great severity associated with other symptoms and signs, usually those of acute peritonitis, which might well be the result of a ruptured abdominal viscus or a similar abdominal catastrophe requiring urgent surgical operation.",Diagnosis,N/A,,,8446,149938,,,R10.0,,,,,,,,3689,9209005,116290004,
120295AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Aborto completo,,Complete abortion,,,Diagnosis,N/A,,,8001,120295,,,,O03.9,,,,,55 (Abortion),,,69124005,,
150746AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,aborto con sepsis,,Abortion with sepsis,,,Diagnosis,N/A,,,8018,150746,,,,O05.5,,,,,55 (Abortion),,,30260009,,
3cd505b6-26fe-102b-80cb-0017a47871b2,,Aborto incompleto,,Incomplete abortion,,An intrauterine death of a fetus that is not followed by its immediate expulsion.,Diagnosis,N/A,,MISSED ABORTION,905,,,,,O05.4,,,,,55 (Abortion),,,16863000,,
150737AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,abrasión,,Abrasion,,"Scaly papule or warty growth, caused by five fungi, that spreads as a result of satellite lesions affecting the foot or leg. The extremity may become swollen and, at its distal portion, covered with various nodular, tumorous, verrucous lesions that resemble cauliflower. In rare instances, the disease may begin on the hand or wrist and involve the entire upper extremity. (Arnold, Odom, and James, Andrew's Diseases of the Skin, 8th ed, p362)",Diagnosis,N/A,,,9331,150737,,,,T14.0,,,,,,,,399963005,,
143367AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Abrasión corneal,,Corneal abrasion,,Damage or trauma inflicted to the eye by external means. The concept includes both surface injuries and intraocular injuries.,Diagnosis,N/A,,,8575,143367,,,,S05.0,,,,,,,,85848002,,
157512AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Absceso hepático excluyendo absceso amebiano del hígado,,liver abscess excluding amebic liver abscess,,,Diagnosis,N/A,,,8369,157512,,,,K75.0,,,,,,,,197325003,,
fdcebb03-3c5c-4d61-8a71-8c4a2e0ae6cb,,Absceso periamigdalino,,Peritonsillar abscess,,Collection of pus that forms in tissues of the throat next to the tonsils,Diagnosis,N/A,,"ABSCESS, PERITONSILLAR",3691,,,,,J36,,,,,,,,15033003,,
577c5c7b-d4b0-4f8a-8102-34ec1ad3f151,,Absceso perianal,,Perianal Abscess,,"Infection of the soft tissues surrounding the anal canal, with formation of a discrete abscess cavity",Diagnosis,N/A,,"ABSCESS, PERIANAL",3690,,,,,K61.0,,,,,,,,82127005,,
127484AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Absceso retrofaringeo y parafaringeo,,Retropharyngeal and parapharyngeal abscess,,"A soft tissue infection of the throat with entry usually by the pharynx but sometimes as an extension of a lateral neck infection resulting from a neck injury. The major risk is upper airway obstruction caused by pharyngeal swelling. (Daniel R. Masys, from a written communication)",Diagnosis,N/A,,,8568,127484,,,,J39.0,,,,,,,,18099001,,
152370AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,abuso sexual,,Sexual Abuse,,,Diagnosis,N/A,,,7931,152370,,,,T74.2,,,,,,,,,213017001;225826001,
111103AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,accidente cerebrovascular,,Cerebrovascular accident,,"A sudden, nonconvulsive loss of neurologic function due to an ischemic or hemorrhagic intracranial vascular event. In general, cerebrovascular accidents are classified by anatomic location in the brain, vascular distribution, etiology, age of the affected individual, and hemorrhagic vs. nonhemorrhagic nature. (From Adams et al., Principles of Neurology, 6th ed, pp777-810)",Diagnosis,N/A,,Cerebrovascular Accident,7314,111103,1878,,,I64,,,,,,,,230690007,,
3cccd076-26fe-102b-80cb-0017a47871b2,,Accidente de tráfico,,Transport accident,,Injury and/or trauma due to motor vehicle accident.,Diagnosis,N/A,,Transport Accident,86,86,,,N25.8,V99,,,,,16a (Road traffic accident),,,,,
3cd48c44-26fe-102b-80cb-0017a47871b2,,Acné,,Acne,,Clinical finding of acneiform lesions (pimples) on the skin.,Diagnosis,N/A,,Acne,838,,,,,L70.9,,,,,,,,,,
135585AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,afonía,,Loss of Voice,,"Complete loss of phonation due to organic disease of the larynx or to nonorganic (i.e., psychogenic) causes.",Diagnosis,N/A,,,10631,135585,,,R49.1,,,,,,,,,441913003,,
122260AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ahogamiento o sumersión accidental,,Accidental drowning or submersion,,,Diagnosis,N/A,,,8489,122260,,,,T75.1,,W74,,,,,,217748000,,
3ccd369c-26fe-102b-80cb-0017a47871b2,,Alergia,,Allergy,,Unspecified allergic reaction.,Diagnosis,N/A,,ALLERGY,142,,,,,T78.4,,,,,,,,,,
