uuid,Void/Retire,Fully specified name:es,Short name:es,Fully specified name:en,Short name:en,Description:es,Data class,Data type,Answers,Members,Mappings|SAME-AS,Mappings|NARROWER-THAN,Mappings|BROADER-THAN
149151AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,hepatopatía alcohólica,,Alcoholic Liver Damage,,,Diagnosis,N/A,,,PIH:7607;PIH:Alcoholic Liver Damage;CIEL:149151;SNOMED CT:41309000,ICD-10-WHO:K70.9,
3cd50188-26fe-102b-80cb-0017a47871b2,,Hipertesion,,Hypertension,,,Diagnosis,N/A,,,PIH:903;PIH:HYPERTENSION;CIEL:117399;SNOMED CT:38341003,Liberia MoH:33 (Hypertension);ICD-10-WHO:I10,
149062AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,alopecia circunscripta,,Alopecia Areata,,,Diagnosis,N/A,,,PIH:10120;CIEL:149062;SNOMED CT:68225006;IMO ProblemIT:899;ICD-10-WHO:L63.9,,
149938AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Abdomen agudo,,Acute Abdomen,,,Diagnosis,N/A,,,PIH:8446;PIH Malawi:3689;CIEL:149938;SNOMED CT:9209005;ICD-10-WHO:R10.0;3BT:10001150;ICPC2:D01,SNOMED CT:116290004,
6c54f2dc-0873-43fc-afb4-106572936455,,Edema pulmonar,,Pulmonary edema,,,Diagnosis,N/A,,,PIH:7627;PIH:Pulmonary Edema,ICD-10-WHO:J81,
118014AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Fractura pélvica,,Fracture of pelvis,,,Diagnosis,N/A,,,PIH:8580;CIEL:118014;SNOMED CT:77493009,ICD-10-WHO:S32.8,
333c9b85-2b30-427f-a39f-d67a7979f517,,Pterigión,,Pterygium,,,Diagnosis,N/A,,,PIH:3767;PIH:PTERYGIUM,,
141635AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,disestesia,,Dysaesthesia,,,Diagnosis,N/A,,,PIH:11215;CIEL:141635;SNOMED CT:279079003;IMO ProblemIT:54369,ICD-10-WHO:R20.8,
3ce8cd76-26fe-102b-80cb-0017a47871b2,,Estomatitis relacionada con VIH,,HIV staging - HSV stomatitis,,,Diagnosis,N/A,,,PIH:5020;PIH:HIV STAGING - HSV STOMATITIS;CIEL:125860;SNOMED CT:61170000;3BT:10093178;ICPC2:D83,,ICD-10-WHO:K12.1
129559AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,polihidramnios,,Polyhydramnios,,,Diagnosis,N/A,,,PIH:8020;CIEL:129559;SNOMED CT:86203003;ICD-10-WHO:O40;3BT:10082282,,
ac9451e3-46f2-4ffc-9b8c-69d620980253,,Problema dental,,Dental problem,,,Diagnosis,N/A,,,PIH:7631;PIH:Teeth problem,ICD-10-WHO:K08,
135462AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,linfogranuloma venéreo,,Lymphogranuloma venereum,,,Diagnosis,N/A,,,PIH:7249;PIH:Lymphogranuloma Venereum;CIEL:135462;SNOMED CT:186946009,ICD-10-WHO:A55,
124586AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Torsión testicular,,Torsion of Testis,,,Diagnosis,N/A,,,PIH:8357;CIEL:124586;SNOMED CT:81996005;ICD-10-WHO:N44;3BT:10097294,,
e7191785-b3bf-4027-8185-de575e526210,,Hernia umbilical,,Umbilical hernia NOS,,,Diagnosis,N/A,,,PIH:7909;PIH:Umbilical hernia;SNOMED CT:7544003,ICD-10-WHO:K42.9,
3ce6cb8e-26fe-102b-80cb-0017a47871b2,,Gastroenteritis bacteriana,,Bacterial gastroenteritis,,,Diagnosis,N/A,,,PIH:2736;CIEL:148023;SNOMED CT:274080003,ICD-10-WHO:A04.9,
e817c1ec-f03a-4c73-9087-d7df8b4795b4,,Tumor benigno de la mama,,Benign Neoplasm Of Breast,,,Diagnosis,N/A,,,PIH:7626;PIH:Benign neoplasm of breast,ICD-10-WHO:D24,
113046AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,catarata senil,,Senile Cataract,,,Diagnosis,N/A,,,PIH:7586;PIH:Senile Cataract;CIEL:113046;SNOMED CT:39450006;Liberia MoH:35 (Cataract),ICD-10-WHO:H25.9,
152595AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dermatopoliomiositis,,Polymyositis-Dermatomyositis,,,Diagnosis,N/A,,,PIH:10127;CIEL:152595;SNOMED CT:396230008;IMO ProblemIT:354265;ICD-10-WHO:M33.9,,
139962AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,cuerpo extraño en el oído,,Foreign body in ear,,,Diagnosis,N/A,,,PIH:7493;PIH:Foreign Body in Ear;CIEL:139962;SNOMED CT:75441006,ICD-10-WHO:T16,
e99123ff-7906-4bf6-906e-cd0b1d555e27,,Reflujo gastroesofágico,,Gastroesophageal reflux,,,Diagnosis,N/A,,,PIH:3723;PIH:GASTROESOPHAGEAL REFLUX;CIEL:1293;SNOMED CT:235595009,ICD-10-WHO:K21.9,
120295AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Aborto completo,,Complete abortion,,,Diagnosis,N/A,,,PIH:8001;CIEL:120295;SNOMED CT:69124005,Liberia MoH:55 (Abortion);ICD-10-WHO:O03.9,
3cd482ee-26fe-102b-80cb-0017a47871b2,,Perdida anormal de peso,,Abnormal weight loss,,,Diagnosis,N/A,,,PIH:832;PIH:WEIGHT LOSS;CIEL:832;SNOMED CT:89362005,ICD-10-WHO:R63.4,
120563AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Sinusitis crónica,,Sinusitis (Chronic),,,Diagnosis,N/A,,,PIH:12075;CIEL:120563;SNOMED CT:40055000;IMO ProblemIT:94188;ICD-10-WHO:J32.9,,
137251AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,infértil,,Infertile,,,Diagnosis,N/A,,,PIH:11410;CIEL:137251;SNOMED CT:8619003;ICD-10-WHO:N97.9,,
115400AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Pólipo nasal,,Nasal Polyp,,,Diagnosis,N/A,,,PIH:8378;CIEL:115400;SNOMED CT:52756005;ICD-10-WHO:J33.9,,
143367AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Abrasión corneal,,Corneal abrasion,,,Diagnosis,N/A,,,PIH:8575;CIEL:143367;SNOMED CT:85848002;3BT:15001354;ICPC2:F79,ICD-10-WHO:S05.0,
355bec6c-76ea-42de-a7ea-d4f5388d3cca,,Problemas de alimentación del recien nacido,,Feeding problems of newborn,,,Symptom,N/A,,,PIH:7245;PIH:Feeding problems of newborn,ICD-10-WHO:P92.9,
2020ca9e-d678-4b4d-89e4-4dac94378311,,Tumor maligno del pulmón,,Malignant neoplasm of lung,,,Diagnosis,N/A,,,PIH:7811;PIH:Malignant neoplasm of lung;SNOMED CT:93880001;ICD-10-WHO:C34.9,,
112416AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Amenaza de aborto,,Threatened Abortion,,,Diagnosis,N/A,,,PIH:7993;CIEL:112416;SNOMED CT:54048003;AMPATH:1488;ICD-10-WHO:O20.0;3BT:10109455,,
121555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,carbunco,,Cutaneous anthrax,,,Diagnosis,N/A,,,PIH:7591;PIH:Anthrax;CIEL:121555;SNOMED CT:84980006;ICD-10-WHO:A22.0,,
3cd47e3e-26fe-102b-80cb-0017a47871b2,,Eccema,,Eczema,,,Diagnosis,N/A,,,PIH:829;PIH:ECZEMA;CIEL:118731;SNOMED CT:43116000;ICD-10-WHO:L30.9;ICPC2:S88,,
b229b3a6-54a6-41c0-9366-239d39f3d218,,Aborto medico,,Medical abortion,,,Diagnosis,N/A,,,PIH:14322;ICD-10-WHO:O04,,
129211AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ruptura prematura de membranas,,Premature rupture of membranes,,,Diagnosis,N/A,,,org.openmrs.module.emrapi:PregnancyComplications;PIH:7227;PIH:Premature Rupture of Membranes;CIEL:129211;SNOMED CT:44223004,SNOMED CT:199657001;SNOMED CT:199663005;ICD-10-WHO:O42.9,
140147AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,hallazgo relacionado con la presión sanguínea alta,,Elevated blood pressure,,,Diagnosis,N/A,,,PIH:7941;CIEL:140147,SNOMED CT:24184005;SNOMED CT:371622005;SNOMED CT:38341003;ICD-10-WHO:R03.0,
132407AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,onfalitis del recién nacido,,Omphalitis of the newborn,,,Diagnosis,N/A,,,PIH:9432;CIEL:132407;SNOMED CT:42052009;IMO ProblemIT:97731;ICD-10-WHO:P38;3BT:10121423;ICPC2:A94,,
146192AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,paro cardíaco,,Cardiac Arrest,,,Diagnosis,N/A,,,PIH:7602;PIH:Cardiac Arrest;CIEL:146192;SNOMED CT:410429000,ICD-10-WHO:I46.9,
3cd1fce0-26fe-102b-80cb-0017a47871b2,,Ascitis,,Ascites,,,Diagnosis,N/A,,,PIH:581;PIH:ASCITES,ICD-10-WHO:R18,
121303AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,trastorno autista,,"Autistic disorder, Active",,,Diagnosis,N/A,,,PIH:10607;CIEL:121303;SNOMED CT:408856003;IMO ProblemIT:703434,ICD-10-WHO:F84.0,
124195AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Hemotorax traumatico,,Traumatic Haemothorax,,,Diagnosis,N/A,,,PIH:8479;CIEL:124195;SNOMED CT:42458003;3BT:10040571;ICPC2:R88,ICD-10-WHO:S27.1,
118016AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Fractura patellar,,Patella fracture,,,Diagnosis,N/A,,,PIH:9643;CIEL:118016;SNOMED CT:51037009;IMO ProblemIT:98741;3BT:10034136;ICPC2:L76,ICD-10-WHO:S82.0,
d34c0f6f-2fc1-4a95-bbde-e98b073df299,,Gota,,Gout,,,Diagnosis,N/A,,,PIH:3724;PIH:GOUT,ICD-10-WHO:M10.9,
b7690a09-e5e5-4b47-adc5-c76b654772d3,,Deshidratación moderada,,Moderate dehydration,,,Diagnosis,N/A,,,PIH:9346;CIEL:154016;SNOMED CT:34095006;ICD-10-WHO:E86,,
145696AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,sabañones,,Chilblains,,,Diagnosis,N/A,,,PIH:12880;CIEL:145696;SNOMED CT:37869000;IMO ProblemIT:85200;ICD-10-WHO:T69.1,,
116026AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,tumor maligno de mama,,Malignant neoplasm of breast,,,Diagnosis,N/A,,,PIH:7581;PIH:Malignant Neoplasm of Breast;CIEL:116026;SNOMED CT:254837009,SNOMED CT:372137005;ICD-10-WHO:C50.9,
120091AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,malformación congénita del aparato genital femenino,,Congenital anomaly of female genital system,,,Diagnosis,N/A,,,PIH:8889;CIEL:120091;SNOMED CT:59035004,,ICD-10-WHO:Q52.9
128319AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,prurigo simple,,Prurigo Simplex,,,Diagnosis,N/A,,,PIH:11212;CIEL:128319;SNOMED CT:55608001;IMO ProblemIT:581;ICD-10-WHO:L28.2,,
8b26ecd3-8726-4c8e-b042-cbe71e44a863,,diabetes mellitus no dependiente de insulina,,Type 2 diabetes,,,Diagnosis,N/A,,,PIH:6692;PIH:Type 2 diabetes;CIEL:142473;SNOMED CT:44054006;IMO ProblemIT:334677;ICD-10-WHO:E11.9,Liberia MoH:31 (Diabetes);ICD-10-WHO:E11,
133418AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,candidiasis neonatal,,Neonatal candidiasis,,,Diagnosis,N/A,,,PIH:9438;CIEL:133418;SNOMED CT:414821002;IMO ProblemIT:315847;ICD-10-WHO:P37.5,,
116967AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Poliartropatía inflamatoria,,Inflammatory polyarthropathy,,,Diagnosis,N/A,,,PIH:9618;CIEL:116967;SNOMED CT:417373000;IMO ProblemIT:1432;ICD-10-WHO:M06.4,,
138434AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Orzuelo,,Hordeolum,,,Diagnosis,N/A,,,PIH:8513;CIEL:138434;SNOMED CT:397513003;AMPATH:132;AMPATH:896,Liberia MoH:40 (other eye condition),ICD-10-WHO:H00.0
3cd4879e-26fe-102b-80cb-0017a47871b2,,Tiña corporal,,Tinea corporis,,,Diagnosis,N/A,,,PIH:835;PIH:TINEA CORPORIS;Liberia MoH:9 (Tinea Corporis),ICD-10-WHO:B35.4,
119574AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Delirium,,Delirium,,,Diagnosis,N/A,,,PIH:7946;PIH:Delirium;CIEL:119574,SNOMED CT:2776000;ICD-10-WHO:F05.9,
