Concept,Member,Member Type,Sort Weight,Void/Retire
COVID-19 diagnósticos,Alta prioridad para vacunación de COVID-19,CONCEPT-SET,1,
COVID-19 diagnósticos,cefalea,CONCEPT-SET,2,
COVID-19 diagnósticos,COVID-19 detectado,CONCEPT-SET,3,
COVID-19 diagnósticos,Diarrea aguda debido a COVID-19,CONCEPT-SET,4,
COVID-19 diagnósticos,Dolor de garganta,CONCEPT-SET,5,
COVID-19 diagnósticos,Enfermedad debida a COVID-19,CONCEPT-SET,6,
COVID-19 diagnósticos,Enfermedad respiratoria aguda debida a COVID-19,CONCEPT-SET,7,
COVID-19 diagnósticos,Exposición a COVID-19,CONCEPT-SET,8,
COVID-19 diagnósticos,Exposición cercana a COVID-19,CONCEPT-SET,9,
COVID-19 diagnósticos,Falta de aliento,CONCEPT-SET,10,
COVID-19 diagnósticos,Fiebre,CONCEPT-SET,11,
COVID-19 diagnósticos,Fiebre con escalofríos,CONCEPT-SET,12,
COVID-19 diagnósticos,Gastroenteritis debido a COVID-19,CONCEPT-SET,13,
COVID-19 diagnósticos,Historia de COVID-19,CONCEPT-SET,14,
COVID-19 diagnósticos,Infección asintomática confirmada por COVID-19,CONCEPT-SET,15,
COVID-19 diagnósticos,Infección debida a COVID-19,CONCEPT-SET,16,
COVID-19 diagnósticos,Infección del tracto respiratorio superior debida a COVID-19,CONCEPT-SET,17,
COVID-19 diagnósticos,mialgia,CONCEPT-SET,18,
COVID-19 diagnósticos,Pérdida de gusto,CONCEPT-SET,19,
COVID-19 diagnósticos,Pérdida de olfato,CONCEPT-SET,20,
COVID-19 diagnósticos,Pneumonía debida a COVID-19,CONCEPT-SET,21,
COVID-19 diagnósticos,sabañones,CONCEPT-SET,22,
COVID-19 diagnósticos,Síndrome de dificultad respiratoria aguda,CONCEPT-SET,23,
COVID-19 diagnósticos,Sospecha de infección por COVID-19,CONCEPT-SET,24,
COVID-19 diagnósticos,Tos no productiva,CONCEPT-SET,25,
