Concept,Member,Member Type,Sort Weight,Void/Retire
México conjunto de diagnósticos de salud materna,Aborto incompleto,CONCEPT-SET,1,
México conjunto de diagnósticos de salud materna,Aborto medico,CONCEPT-SET,2,
México conjunto de diagnósticos de salud materna,Anemia en el embarazo,CONCEPT-SET,3,
México conjunto de diagnósticos de salud materna,antecedente de: cesárea,CONCEPT-SET,4,
México conjunto de diagnósticos de salud materna,apnea en el recién nacido,CONCEPT-SET,5,
México conjunto de diagnósticos de salud materna,Atención de embarazo con historia de insuficiente atención prenatal,CONCEPT-SET,6,
México conjunto de diagnósticos de salud materna,aumento anormal de peso durante el embarazo,CONCEPT-SET,7,
México conjunto de diagnósticos de salud materna,aumento de peso insuficiente en el embarazo,CONCEPT-SET,8,
México conjunto de diagnósticos de salud materna,bajo peso al nacer,CONCEPT-SET,9,
México conjunto de diagnósticos de salud materna,Consejería de concepción,CONCEPT-SET,10,
México conjunto de diagnósticos de salud materna,Consejería en sexualidad,CONCEPT-SET,11,
México conjunto de diagnósticos de salud materna,Corioamnionitis,CONCEPT-SET,12,
México conjunto de diagnósticos de salud materna,Desnutrición en el embarazo,CONCEPT-SET,13,
México conjunto de diagnósticos de salud materna,Dificultad respiratoria del recién nacido,CONCEPT-SET,14,
México conjunto de diagnósticos de salud materna,distocia de hombro,CONCEPT-SET,15,
México conjunto de diagnósticos de salud materna,Embarazo de alto riesgo por problemas sociales,CONCEPT-SET,16,
México conjunto de diagnósticos de salud materna,Embarazo molar,CONCEPT-SET,17,
México conjunto de diagnósticos de salud materna,embarazo no deseado,CONCEPT-SET,18,
México conjunto de diagnósticos de salud materna,Embarazo postérmino,CONCEPT-SET,19,
México conjunto de diagnósticos de salud materna,hemorragia umbilical después del nacimiento,CONCEPT-SET,20,
México conjunto de diagnósticos de salud materna,Hipertensión gestacional,CONCEPT-SET,21,
México conjunto de diagnósticos de salud materna,Incompatibilidad Rh que afecta al embarazo,CONCEPT-SET,22,
México conjunto de diagnósticos de salud materna,macrosomía fetal,CONCEPT-SET,23,
México conjunto de diagnósticos de salud materna,Muerte intrauterina,CONCEPT-SET,24,
México conjunto de diagnósticos de salud materna,muerte por secuelas de causas obstétricas directas,CONCEPT-SET,25,
México conjunto de diagnósticos de salud materna,nacimiento prematuro,CONCEPT-SET,26,
México conjunto de diagnósticos de salud materna,Parto,CONCEPT-SET,27,
México conjunto de diagnósticos de salud materna,Parto por cesárea,CONCEPT-SET,28,
México conjunto de diagnósticos de salud materna,Preeclampsia con datos de severidad,CONCEPT-SET,29,
México conjunto de diagnósticos de salud materna,presentación fetal defectuosa,CONCEPT-SET,30,
México conjunto de diagnósticos de salud materna,Primigesta muy joven,CONCEPT-SET,31,
México conjunto de diagnósticos de salud materna,Seguimiento del embarazo normal,CONCEPT-SET,32,
México conjunto de diagnósticos de salud materna,síndromes neonatales por aspiración,CONCEPT-SET,33,
México conjunto de diagnósticos de salud materna,taquipnea transitoria del recién nacido,CONCEPT-SET,34,
