Concept,Member,Member Type,Sort Weight,Void/Retire
CES medication set,ABO blood typing kit,CONCEPT-SET,1,
CES medication set,Acenocoumarol,CONCEPT-SET,2,
CES medication set,Acetaminophen / tramadol,CONCEPT-SET,3,
CES medication set,Alcaftadine,CONCEPT-SET,4,
CES medication set,Alcohols,CONCEPT-SET,5,
CES medication set,Alendronate,CONCEPT-SET,6,
CES medication set,Allantoin / Coal tar,CONCEPT-SET,7,
CES medication set,Allopurinol,CONCEPT-SET,8,
CES medication set,Aluminum magnesium silicate,CONCEPT-SET,9,
CES medication set,Ambroxol,CONCEPT-SET,10,
CES medication set,Aminophylline,CONCEPT-SET,11,
CES medication set,Aripiprazole,CONCEPT-SET,12,
CES medication set,Atenolol,CONCEPT-SET,13,
CES medication set,Atorvastatin,CONCEPT-SET,14,
CES medication set,Atropine,CONCEPT-SET,15,
CES medication set,Azathioprine,CONCEPT-SET,16,
CES medication set,Baby clothing kit,CONCEPT-SET,17,
CES medication set,Beclomethasone dipropionate,CONCEPT-SET,18,
CES medication set,Benzonatate,CONCEPT-SET,19,
CES medication set,Betamethasone,CONCEPT-SET,20,
CES medication set,Bicalutamide,CONCEPT-SET,21,
CES medication set,Biperiden,CONCEPT-SET,22,
CES medication set,Bismuth subsalicylate,CONCEPT-SET,23,
CES medication set,Bisoprolol,CONCEPT-SET,24,
CES medication set,Bromocriptine,CONCEPT-SET,25,
CES medication set,Buprenorphine,CONCEPT-SET,26,
CES medication set,Cabergoline,CONCEPT-SET,27,
CES medication set,Calcium carbonate,CONCEPT-SET,28,
CES medication set,Calcium hydroxide,CONCEPT-SET,29,
CES medication set,Capreomycin,CONCEPT-SET,30,
CES medication set,Carbetocin,CONCEPT-SET,31,
CES medication set,Cefmetazole,CONCEPT-SET,32,
CES medication set,Celecoxib,CONCEPT-SET,33,
CES medication set,Chlorphenamine,CONCEPT-SET,34,
CES medication set,Chlorthalidone,CONCEPT-SET,35,
CES medication set,Cinitapride,CONCEPT-SET,36,
CES medication set,Ciprofloxacin / Dexamethasone,CONCEPT-SET,37,
CES medication set,Cisapride,CONCEPT-SET,38,
CES medication set,Citalopram,CONCEPT-SET,39,
CES medication set,Clindamycin,CONCEPT-SET,40,
CES medication set,Clioquinol,CONCEPT-SET,41,
CES medication set,Clonazepam,CONCEPT-SET,42,
CES medication set,Coal tar,CONCEPT-SET,43,
CES medication set,Colchicine,CONCEPT-SET,44,
CES medication set,Copper IUD,CONCEPT-SET,45,
CES medication set,Cromoglicic acid,CONCEPT-SET,46,
CES medication set,Cyclosporine,CONCEPT-SET,47,
CES medication set,Danazol,CONCEPT-SET,48,
CES medication set,DEFLAZACORT,CONCEPT-SET,49,
CES medication set,Desogestrel / Ethinyl estradiol,CONCEPT-SET,50,
